utility_name,2018,2019,2020,2021,2022,2023
NorthWestern Energy LLC - (MT),82.22607586778258,85.20699022038826,86.89914589517886,88.50927280287434,93.6536048943388,102.93289327375565
PUD No 1 of Snohomish County,NA,NA,NA,NA,NA,101.85472208017113
Northern States Power Co - Minnesota,91.29755874351557,83.74540144678816,88.27526517880739,90.71616799888653,98.61500775716303,101.47325716642712
PacifiCorp,89.65882186051566,91.43199177335562,88.84414086260385,91.96381537163805,95.54402069978764,101.46048211234269
Public Service Elec & Gas Co,92.25760882080385,93.58732086855571,100.0527583482968,100.78342728512857,100.67999346795467,101.06231083857475
Wisconsin Public Service Corp,81.67077612831612,78.62082065147976,87.85719163281237,89.11379591381235,94.43208965391652,100.07778113478834
Dakota Electric Association,NA,102.728067081576,104.83678965513093,107.39300545983389,102.62717928065942,100.03052391828798
Cleveland Electric Illum Co,81.00683720736632,75.07876718019648,73.18703437372616,81.6177787141954,80.25913152341735,99.71250711236316
Madison Gas & Electric Co,89.42007260079578,86.60508421889203,88.82402112965865,89.8534851910554,94.83120986180907,99.150962049643
City of Tacoma - (WA),93.07413772998066,93.63285902878222,96.0109392227964,97.56914457698676,99.40870785542702,97.85109270802647
PUD No 1 of Clark County - (WA),97.08789682060619,97.39525441868032,96.90040872070936,97.58093939160278,99.50305702465238,96.54623067195224
El Paso Electric Co,80.20366690031891,77.49429820841708,85.43565286754696,86.54730157055963,104.25218820849284,96.24377229038585
Avista Corp,89.75813267898795,88.21827496329554,89.14683520719221,91.62657923404736,95.20931635063664,95.5350999976353
"ALLETE, Inc.",77.9213562642443,78.31104995773426,78.67249467995292,89.06058578608577,96.9510838355286,93.54271906521893
City Utilities of Springfield - (MO),82.26949603182535,86.2898675540676,85.76848587452122,86.14804806323646,95.16848649215407,93.40429791180651
MidAmerican Energy Co,87.71391812414032,84.49716025671884,85.39957653724773,88.09201554885843,93.25159998094001,89.05011258221033
Public Service Co of NM,77.1549978844901,75.55222514620215,84.42455705094656,83.99900585155632,83.43031730424929,87.95185683835142
Lincoln Electric System,85.46754263961539,83.2882022564771,82.82865389134089,83.00271263642014,83.73042031447928,86.74557485881391
Commonwealth Edison Co,80.22438163509462,77.47753118002008,80.51976184351746,82.62923809545077,100.57517416765255,84.38579690496965
Public Service Co of Colorado,69.22287179115786,68.13147463595085,73.46138546260066,78.91388240893454,87.22882444361343,83.93448594745627
City of Colorado Springs - (CO),81.58675995048435,80.4397371275501,81.19593135898337,88.0762637000016,95.61245185374727,83.87358654388066
Sunnova,NA,NA,NA,NA,NA,81.37090324853256
City of Seattle - (WA),65.27171423444246,69.5586301077164,74.36287180541784,74.39481517068317,76.52334916201593,79.32196953024312
